Time,Is,D
137.094,15.475,208.6059
137.24,15.4941,208.6289
137.386,15.5132,208.6519
137.532,15.5325,208.675
137.678,15.5517,208.6981
137.824,15.5711,208.7212
137.97,15.5905,208.7443
138.116,15.61,208.7675
138.262,15.6295,208.7907
138.408,15.6491,208.814
138.554,15.6688,208.8372
138.7,15.6885,208.8605
138.846,15.7084,208.8838
138.992,15.7282,208.9072
139.138,15.7482,208.9306
139.284,15.7682,208.954
139.43,15.7883,208.9774
139.576,15.8085,209.0009
139.722,15.8287,209.0244
139.868,15.849,209.0479
140.014,15.8694,209.0715
140.16,15.8898,209.0951
140.306,15.9103,209.1187
140.452,15.9309,209.1424
140.598,15.9516,209.166
140.744,15.9723,209.1898
140.89,15.9931,209.2135
141.036,16.014,209.2373
141.182,16.0349,209.2611
141.328,16.0559,209.2849
141.474,16.077,209.3088
141.62,16.0981,209.3327
141.766,16.1194,209.3566
141.912,16.1406,209.3806
142.058,16.162,209.4046
142.204,16.1835,209.4286
142.35,16.205,209.4527
142.496,16.2265,209.4768
142.642,16.2482,209.5009
142.788,16.2699,209.525
142.934,16.2917,209.5492
143.08,16.3136,209.5734
143.226,16.3356,209.5977
143.372,16.3576,209.622
143.518,16.3797,209.6463
143.664,16.4019,209.6707
143.81,16.4241,209.695
143.956,16.4464,209.7195
144.102,16.4688,209.7439
144.248,16.4913,209.7684
144.394,16.5138,209.7929
144.54,16.5365,209.8175
144.686,16.5592,209.842
144.832,16.5819,209.8667
144.978,16.6048,209.8913
145.124,16.6277,209.916
145.27,16.6507,209.9407
145.416,16.6738,209.9655
145.562,16.697,209.9903
145.708,16.7202,210.0151
145.854,16.7435,210.0399
146,16.7669,210.0648
146.146,16.7903,210.0898
146.292,16.8139,210.1147
146.438,16.8375,210.1397
146.584,16.8612,210.1648
146.73,16.885,210.1898
146.876,16.9088,210.2149
147.022,16.9328,210.2401
147.168,16.9568,210.2652
147.314,16.9809,210.2904
147.46,17.005,210.3157
